time;Praha;Plzen;Liberec;Ceske_Budejovice;average
2023-01-01 00:00:00;13.7;10.3;14.5;10.8;12.325
2023-01-01 01:00:00;13.4;10.1;15.2;10.7;12.35
2023-01-01 02:00:00;13.1;9.9;13.1;10.8;11.725
2023-01-01 03:00:00;12.5;9.5;13.6;10.6;11.55
2023-01-01 04:00:00;12.3;9.3;13.5;10.4;11.375
2023-01-01 05:00:00;12.1;9.0;13.0;9.8;10.975
2023-01-01 06:00:00;11.8;8.6;12.1;9.5;10.5
2023-01-01 07:00:00;11.8;8.6;13.5;9.4;10.825
2023-01-01 08:00:00;12.3;9.2;14.0;9.7;11.3
2023-01-01 09:00:00;12.9;10.0;13.0;10.5;11.6
2023-01-01 10:00:00;15.9;13.0;13.4;14.3;14.15
2023-01-01 11:00:00;16.4;14.2;13.5;15.1;14.799999999999999
2023-01-01 12:00:00;16.9;14.8;13.6;15.4;15.175
2023-01-01 13:00:00;16.6;15.4;13.1;15.4;15.125
2023-01-01 14:00:00;16.5;15.3;12.6;15.0;14.85
2023-01-01 15:00:00;15.5;14.4;12.7;13.9;14.125
2023-01-01 16:00:00;14.8;13.0;11.3;14.4;13.375
2023-01-01 17:00:00;13.7;11.9;11.1;13.0;12.425
2023-01-01 18:00:00;12.7;10.7;10.6;11.9;11.475
2023-01-01 19:00:00;12.2;10.0;11.6;11.1;11.225
2023-01-01 20:00:00;11.5;9.3;11.6;10.2;10.65
2023-01-01 21:00:00;10.8;8.5;11.4;9.4;10.025
2023-01-01 22:00:00;11.3;6.3;10.9;8.9;9.35
2023-01-01 23:00:00;10.8;5.9;9.9;8.5;8.775
2023-01-02 00:00:00;10.2;5.6;9.6;8.0;8.35
2023-01-02 01:00:00;9.9;5.2;9.1;7.5;7.925
2023-01-02 02:00:00;9.3;5.0;8.6;7.0;7.475
2023-01-02 03:00:00;8.7;4.5;8.3;6.4;6.975
2023-01-02 04:00:00;8.1;2.5;8.6;4.4;5.9
2023-01-02 05:00:00;7.7;2.5;7.8;4.3;5.575
